1990	(00, 5)
1990	(01, 3)
1990	(02, 3)
1990	(06, 1)
1990	(07, 2)
1990	(08, 3)
1990	(09, 7)
1990	(10, 9)
1990	(11, 10)
1990	(12, 13)
1990	(13, 8)
1990	(14, 9)
1990	(15, 9)
1990	(16, 13)
1990	(17, 6)
1990	(18, 12)
1990	(19, 7)
1990	(20, 6)
1990	(21, 6)
1990	(22, 4)
1990	(23, 5)
1991	(00, 2)
1991	(01, 1)
1991	(02, 1)
1991	(04, 2)
1991	(07, 3)
1991	(08, 2)
1991	(09, 4)
1991	(10, 13)
1991	(11, 10)
1991	(12, 13)
1991	(13, 6)
1991	(14, 12)
1991	(15, 11)
1991	(16, 10)
1991	(17, 8)
1991	(18, 10)
1991	(19, 10)
1991	(20, 7)
1991	(21, 11)
1991	(22, 3)
1991	(23, 3)
1992	(00, 3)
1992	(01, 2)
1992	(03, 1)
1992	(04, 2)
1992	(05, 2)
1992	(06, 2)
1992	(07, 3)
1992	(08, 5)
1992	(09, 3)
1992	(10, 8)
1992	(11, 8)
1992	(12, 7)
1992	(13, 12)
1992	(14, 16)
1992	(15, 5)
1992	(16, 12)
1992	(17, 6)
1992	(18, 10)
1992	(19, 7)
1992	(20, 6)
1992	(21, 6)
1992	(22, 6)
1992	(23, 3)
1993	(00, 1)
1993	(01, 7)
1993	(03, 1)
1993	(04, 1)
1993	(06, 1)
1993	(07, 1)
1993	(08, 7)
1993	(09, 2)
1993	(10, 8)
1993	(11, 9)
1993	(12, 6)
1993	(13, 10)
1993	(14, 9)
1993	(15, 10)
1993	(16, 13)
1993	(17, 7)
1993	(18, 10)
1993	(19, 7)
1993	(20, 8)
1993	(21, 5)
1993	(22, 8)
1993	(23, 3)
1994	(00, 1)
1994	(01, 1)
1994	(02, 1)
1994	(07, 1)
1994	(08, 4)
1994	(10, 3)
1994	(11, 4)
1994	(12, 6)
1994	(13, 8)
1994	(14, 9)
1994	(15, 6)
1994	(16, 9)
1994	(17, 5)
1994	(18, 6)
1994	(19, 9)
1994	(20, 6)
1994	(21, 9)
1994	(22, 4)
1994	(23, 3)
1995	(00, 3)
1995	(02, 1)
1995	(03, 1)
1995	(06, 2)
1995	(08, 3)
1995	(09, 1)
1995	(10, 4)
1995	(11, 6)
1995	(12, 7)
1995	(13, 5)
1995	(14, 4)
1995	(15, 5)
1995	(16, 7)
1995	(17, 10)
1995	(18, 14)
1995	(19, 9)
1995	(20, 8)
1995	(21, 4)
1995	(22, 1)
1995	(23, 1)
1996	(00, 1)
1996	(01, 1)
1996	(08, 1)
1996	(10, 5)
1996	(11, 3)
1996	(12, 4)
1996	(13, 4)
1996	(14, 4)
1996	(16, 5)
1996	(17, 7)
1996	(18, 1)
1996	(19, 2)
1996	(20, 2)
1996	(22, 2)
1996	(23, 2)
1997	(00, 3)
1997	(01, 1)
1997	(08, 1)
1997	(11, 1)
1997	(12, 4)
1997	(13, 3)
1997	(14, 2)
1997	(15, 5)
1997	(16, 3)
1997	(17, 4)
1997	(18, 3)
1997	(19, 4)
1997	(20, 1)
1997	(21, 2)
1997	(22, 1)
1998	(00, 1)
1998	(01, 1)
1998	(02, 1)
1998	(03, 1)
1998	(08, 1)
1998	(09, 1)
1998	(10, 2)
1998	(11, 3)
1998	(12, 3)
1998	(13, 1)
1998	(15, 2)
1998	(16, 2)
1998	(17, 1)
1998	(18, 1)
1998	(19, 2)
1998	(21, 3)
1998	(23, 1)
1999	(00, 1)
1999	(02, 1)
1999	(09, 1)
1999	(12, 1)
1999	(14, 3)
1999	(16, 3)
1999	(17, 2)
1999	(19, 1)
1999	(21, 1)
2000	(03, 1)
2000	(10, 1)
2000	(11, 1)
2000	(13, 1)
2000	(14, 1)
2000	(15, 1)
2000	(16, 1)
2000	(17, 2)
2000	(18, 2)
2000	(19, 1)
2000	(20, 1)
2000	(21, 2)
2000	(23, 2)
2001	(02, 1)
2001	(08, 1)
2001	(09, 1)
2001	(11, 1)
2001	(13, 1)
2001	(14, 1)
2001	(17, 1)
2001	(18, 2)
2001	(19, 1)
2001	(20, 1)
2001	(22, 2)
2002	(06, 1)
2002	(15, 3)
2003	(13, 2)
